,AC,route,arrTime,hldTime
0,ac_1,PIBAP,0.0,0.0
1,ac_1,PASPU,360.0,0.0
2,ac_1,NYLON,664.615384615384,0.0
3,ac_1,ELBEX,779.4725274733992,0.0
4,ac_1,RUNWAY1,970.9618891758056,0.0
5,ac_2,PIBAP,30.0,0.0
6,ac_2,PASPU,420.0,0.0
7,ac_2,NYLON,724.615384615384,0.0
8,ac_2,VABRI,827.4725274725258,0.0
9,ac_2,RUNWAY2,1018.9618891749321,0.0
10,ac_3,PASPU,300.0,0.0
11,ac_3,NYLON,604.6153846153848,0.0
12,ac_3,ELBEX,719.472527472526,0.0
13,ac_3,RUNWAY1,910.9618891749324,0.0
14,ac_4,ARAMA,150.0,0.0
15,ac_4,LELIB,361.7647058823534,0.0
16,ac_4,JAYBEE,610.9954751129885,0.0
17,ac_4,ALFA,707.9185520364013,0.0
18,ac_4,BETBA,777.1493212670348,0.0
19,ac_4,BIDUS,846.3800904976697,0.0
20,ac_4,ELBEX,961.2372333548874,0.0
21,ac_4,RUNWAY1,1152.7265950572937,0.0
22,ac_5,ARAMA,180.0,0.0
23,ac_5,LELIB,421.7647058823534,0.0
24,ac_5,JAYBEE,670.9954751129885,0.0
25,ac_5,ALFA,767.9185520364013,0.0
26,ac_5,BETBA,837.1493212670362,0.0
27,ac_5,BIDUS,906.3800904976711,0.0
28,ac_5,ELBEX,1021.2372333548886,0.0
29,ac_5,RUNWAY1,1212.7265950572948,0.0
30,ac_6,BOBAG,240.0,0.0
31,ac_6,SINJON,572.3076923076928,0.0
32,ac_6,PAPA UNIFORM,752.3076923076894,0.0
33,ac_6,BETBA,897.1493212670362,0.0
34,ac_6,BIDUS,966.380090497671,0.0
35,ac_6,ELBEX,1081.2372333548885,0.0
36,ac_6,RUNWAY1,1272.7265950572948,0.0
37,ac_7,ASUNA,60.0,0.0
38,ac_7,BOBAG,300.0,0.0
39,ac_7,SINJON,632.3076923076924,0.0
40,ac_7,PAPA UNIFORM,812.307692307689,0.0
41,ac_7,BETBA,957.1493212670362,0.0
42,ac_7,BIDUS,1026.3800904976708,0.0
43,ac_7,ELBEX,1141.2372333540154,0.0
44,ac_7,RUNWAY1,1332.7265950564217,0.0
45,ac_8,LELIB,60.0,0.0
46,ac_8,JAYBEE,309.23076923076917,0.0
47,ac_8,ALFA,406.1538461538459,0.0
48,ac_8,BETBA,475.38461538461434,0.0
49,ac_8,BIDUS,544.6153846153832,0.0
50,ac_8,ELBEX,659.472527472526,0.0
51,ac_8,RUNWAY1,850.9618891749319,0.0
52,ac_9,JAYBEE,120.0,0.0
53,ac_9,ALFA,216.9230769230769,0.0
54,ac_9,BETBA,286.153846153846,0.0
55,ac_9,BIDUS,355.38461538461485,0.0
56,ac_9,ELBEX,470.2417582417565,0.0
57,ac_9,RUNWAY1,661.7311199441633,0.0
58,ac_10,REPOV,360.0,0.0
59,ac_10,REMES,656.4705882352939,0.0
60,ac_10,BTM,1030.3167420814466,0.0
61,ac_10,DOVAN,1196.4705882354883,0.0
62,ac_10,BIPOP,1362.6244343895282,0.0
63,ac_10,VABRI,1465.4815772468917,0.0
64,ac_10,RUNWAY2,1656.970938949285,0.0
65,ac_11,SAMKO,60.0,0.0
66,ac_11,BTM,317.1428571428571,0.0
67,ac_11,DOVAN,483.29670329670284,0.0
68,ac_11,BIPOP,649.450549450548,0.0
69,ac_11,VABRI,752.3076923076904,0.0
70,ac_11,RUNWAY2,943.7970540100968,0.0
71,ac_12,IKIMA,240.0,0.0
72,ac_12,IBULA,516.9230769230768,0.0
73,ac_12,LAVAX,739.2760180995456,0.0
74,ac_12,RUVIK,850.0452488687743,0.0
75,ac_12,DOVAN,974.6606334841573,0.0
76,ac_12,BIPOP,1140.814479638002,0.0
77,ac_12,VABRI,1243.6716224951454,0.0
78,ac_12,RUNWAY2,1435.1609841975517,0.0
79,ac_13,IBULA,300.0,0.0
80,ac_13,LAVAX,522.3529411764706,0.0
81,ac_13,RUVIK,633.1221719457004,0.0
82,ac_13,DOVAN,757.7375565610844,0.0
83,ac_13,BIPOP,923.8914027149294,0.0
84,ac_13,VABRI,1026.7485455720728,0.0
85,ac_13,RUNWAY2,1218.2379072744711,0.0
86,ac_14,LAVAX,90.0,0.0
87,ac_14,RUVIK,200.7692307692308,0.0
88,ac_14,DOVAN,325.3846153846152,0.0
89,ac_14,BIPOP,491.53846153846075,0.0
90,ac_14,VABRI,594.3956043956032,0.0
91,ac_14,RUNWAY2,785.8849660980095,0.0
92,ac_15,LAVAX,120.0,0.0
93,ac_15,RUVIK,260.7692307692255,0.0
94,ac_15,DOVAN,385.38461538461047,0.0
95,ac_15,BIPOP,551.5384615384535,0.0
96,ac_15,VABRI,654.395604395596,0.0
97,ac_15,RUNWAY2,845.8849660980023,0.0
