,AC,route,arrTime,hldTime
0,ac_1,PIBAP,0.0,0
1,ac_1,PASPU,328.235294117647,0
2,ac_1,NYLON,632.8506787330316,0
3,ac_1,ELBEX,735.7078215901745,0
4,ac_1,RUNWAY1,927.1971832923022,0
5,ac_2,PIBAP,180.0,0
6,ac_2,PASPU,508.235294117647,0
7,ac_2,NYLON,812.8506787330316,0
8,ac_2,VABRI,915.7078215901745,0
9,ac_2,RUNWAY2,1107.1971832923023,0
10,ac_3,PASPU,60.0,0
11,ac_3,NYLON,364.61538461538464,0
12,ac_3,ELBEX,467.4725274725275,0
13,ac_3,RUNWAY1,658.9618891746552,0
14,ac_4,ARAMA,120.0,0
15,ac_4,LELIB,331.7647058823529,0
16,ac_4,JAYBEE,580.9954751131222,0
17,ac_4,ALFA,677.9185520361991,0
18,ac_4,BETBA,747.1493212669684,0
19,ac_4,BIDUS,816.3800904977377,0
20,ac_4,ELBEX,931.2372333548806,0
21,ac_4,RUNWAY1,1122.7265950570081,0
22,ac_5,ARAMA,300.0,0
23,ac_5,LELIB,511.7647058823529,0
24,ac_5,JAYBEE,760.9954751131222,0
25,ac_5,ALFA,857.9185520361991,0
26,ac_5,BETBA,927.1493212669684,0
27,ac_5,BIDUS,996.3800904977377,0
28,ac_5,ELBEX,1111.2372333548806,0
29,ac_5,RUNWAY1,1302.7265950570081,0
30,ac_6,BOBAG,180.0,0
31,ac_6,SINJON,512.3076923076924,0
32,ac_6,PAPA UNIFORM,692.3076923076924,0
33,ac_6,BETBA,807.5076923076924,0
34,ac_6,BIDUS,876.7384615384617,0
35,ac_6,ELBEX,991.5956043956046,0
36,ac_6,RUNWAY1,1183.0849660977324,0
37,ac_7,ASUNA,480.0,0
38,ac_7,BOBAG,691.7647058823529,0
39,ac_7,SINJON,1024.0723981900453,0
40,ac_7,PAPA UNIFORM,1204.0723981900453,0
41,ac_7,BETBA,1314.841628959276,0
42,ac_7,BIDUS,1384.0723981900453,0
43,ac_7,ELBEX,1498.9295410471882,0
44,ac_7,RUNWAY1,1690.4189027493157,0
45,ac_8,LELIB,60.0,0
46,ac_8,JAYBEE,309.2307692307693,0
47,ac_8,ALFA,406.1538461538462,0
48,ac_8,BETBA,475.3846153846154,0
49,ac_8,BIDUS,544.6153846153846,0
50,ac_8,ELBEX,659.4725274725275,0
51,ac_8,RUNWAY1,850.9618891746552,0
52,ac_9,JAYBEE,120.0,0
53,ac_9,ALFA,216.92307692307693,0
54,ac_9,BETBA,286.1538461538462,0
55,ac_9,BIDUS,355.3846153846154,0
56,ac_9,VABRI,492.5274725274726,0
57,ac_9,RUNWAY2,684.0168342296002,0
58,ac_10,REPOV,360.0,0
59,ac_10,REMES,656.4705882352941,0
60,ac_10,BTM,1030.316742081448,0
61,ac_10,DOVAN,1196.4705882352941,0
62,ac_10,BIPOP,1362.6244343891403,0
63,ac_10,VABRI,1465.4815772462832,0
64,ac_10,RUNWAY2,1656.970938948411,0
65,ac_11,SAMKO,60.0,0
66,ac_11,BTM,317.1428571428571,0
67,ac_11,DOVAN,483.2967032967033,0
68,ac_11,BIPOP,649.4505494505495,0
69,ac_11,VABRI,752.3076923076924,0
70,ac_11,RUNWAY2,943.79705400982,0
71,ac_12,IKIMA,240.0,0
72,ac_12,IBULA,516.9230769230769,0
73,ac_12,LAVAX,739.2760180995475,0
74,ac_12,RUVIK,850.0452488687783,0
75,ac_12,DOVAN,974.660633484163,0
76,ac_12,BIPOP,1140.814479638009,0
77,ac_12,VABRI,1243.671622495152,0
78,ac_12,RUNWAY2,1435.1609841972795,0
79,ac_13,IBULA,300.0,0
80,ac_13,LAVAX,522.3529411764706,0
81,ac_13,RUVIK,633.1221719457014,0
82,ac_13,DOVAN,757.7375565610861,0
83,ac_13,BIPOP,923.8914027149323,0
84,ac_13,VABRI,1026.748545572075,0
85,ac_13,RUNWAY2,1218.2379072742028,0
86,ac_14,KEXAS,420.0,0
87,ac_14,LAVAX,642.3529411764706,0
88,ac_14,RUVIK,753.1221719457014,0
89,ac_14,DOVAN,877.7375565610861,0
90,ac_14,BIPOP,1043.8914027149322,0
91,ac_14,VABRI,1146.748545572075,0
92,ac_14,RUNWAY2,1338.2379072742028,0
93,ac_15,LAVAX,120.0,0
94,ac_15,RUVIK,230.76923076923077,0
95,ac_15,DOVAN,355.3846153846154,0
96,ac_15,BIPOP,521.5384615384615,0
97,ac_15,VABRI,624.3956043956044,0
98,ac_15,RUNWAY2,815.8849660977321,0
